B1,B2,B3,B4,B5,水温,DO,source
5.21475,5.6685,7.39825,5.2725,3.73525,19.6,9.19,1
0.77075,1.52975,3.2375,2.2145,1.69475,32.2,10.29,1
3.4630044343849478,4.467413081354767,4.702493138030621,3.9422354256041374,0.4137248523567552,23.1,9.9,0
2.551524385824409,3.870418756778213,5.709775473206833,5.051242426212511,0.0873925520363441,15.3,7.54,0
0.17675,0.9825,2.2145,0.28675,0.3335,19.6,7.55,1
2.457024525025812,3.882940617573611,4.686751937499148,2.3062113972549025,0.0311548442003349,16.6,9.12,0
5.39625,6.41375,9.161,6.56775,4.04325,20.5,8.11,1
2.1518075668631487,3.463882709573984,5.2053063592493904,4.516666443905345,0.5530336161295477,15.2,7.79,0
5.86925,7.53575,12.49675,13.143,5.96275,26.2,3.9,1
10.011138063331892,15.295777182798671,23.633930526620222,15.233403733934678,2.058819407830197,16.7,9.28,0
2.594729345924464,4.026394361417316,5.554450279681689,4.7716163097284285,0.4155934635035381,16.0,7.61,0
6.49625,8.06925,11.6855,9.83475,6.4495,32.0,5.3,1
3.95525,4.6125,6.939,4.53825,2.121,16.0,9.57,1
4.41820153085347,6.650527881204749,10.413178622580366,8.938622114039687,4.716158597239321,25.7,5.76,0
5.07175,6.356,9.777,6.642,5.3165,23.4,8.63,1
5.2285,5.86375,7.247,4.2495,2.847,20.7,9.04,1
8.36075,9.9915,13.92675,11.79825,6.9775,24.8,7.94,1
5.1955,6.2735,9.645,8.08025,3.00375,20.8,5.6,1
2.4546438349059176,3.948334471188198,5.853906224312727,4.358118551369087,0.6860482935429413,18.2,9.26,0
2.060896940261697,3.323928908807033,6.915922224107004,4.770697603889299,1.7785936432902325,22.6,6.97,0
2.5445,3.53725,5.94075,4.651,3.18525,23.2,7.59,1
3.729077438672233,5.302872509404045,7.615412251188606,6.88045971794112,3.5088552553205363,26.2,4.88,0
6.02325,6.80425,9.48275,7.95375,3.94975,19.3,8.59,1
3.6690298320815256,5.2895028778715965,8.116379992319509,7.515332199427918,4.697488326090083,26.2,4.88,0
0.3665,2.176,6.4055,4.52725,1.901,30.3,3.71,1
4.1285,4.75275,6.807,5.135,2.82775,26.4,7.34,1
5.1998283598798745,7.35307137349993,10.034835745721889,9.599702278620114,1.1645641964651758,23.0,9.71,0
6.933244112523949,10.0550814227994,14.833187224567892,14.067340977658866,3.904120833621647,17.5,7.59,0
2.960059911959377,4.51073060326795,5.5159015304938,2.773925731748548,0.0007695633454348,17.2,9.01,0
3.1825,3.7765,5.707,3.89475,1.99725,22.5,8.22,1
5.3605,6.6805,10.9595,10.3655,5.608,22.2,6.65,1
3.63075,4.07075,5.9655,3.7105,1.42525,18.3,8.79,1
3.704887750404203,5.328232794375132,7.71568441680258,6.778112343951431,2.6990617398923757,26.3,5.37,0
4.57675,5.59425,8.2975,4.64825,2.4015,16.6,10.08,1
3.966536919604008,5.3237628695230566,6.8128880564485685,6.498014367026308,0.6533052106460473,17.4,6.06,0
2.0082158474705145,3.348638598518784,6.92978744982043,5.02385132095707,2.209668990535951,22.6,11.07,0
4.332986910198243,6.612286807872858,10.45689917840286,8.979426508095177,5.194893155720991,25.7,5.76,0
4.710113970288507,6.764305007031299,9.894292602554495,8.599580691357422,3.0889258773021164,25.9,6.55,0
5.201094469461183,7.507795719442662,10.822905378949132,10.801814512772218,4.264258426569775,18.2,7.1,0
2.6830234396228456,4.041937882314609,4.956161549023833,2.4137455667002645,0.0008464074523571,17.1,9.15,0
1.8397885728816592,3.307474050963043,5.230259522817881,4.480944613051049,0.2033854967165516,15.2,7.79,0
2.9955,4.19725,7.20025,5.77575,3.65,25.4,6.84,1
1.8651105840162303,3.13381648875688,4.735096188749543,4.088399143625988,0.0877815033567823,15.0,8.0,0
4.90675,5.77025,8.37725,6.741,5.34675,21.7,7.37,1
2.865459476197926,4.376439692716371,5.928824040605845,4.901134334086911,0.0484218356815967,15.6,7.33,0
5.3385,6.3835,10.06575,7.82725,2.55275,22.0,7.94,1
12.052732386316722,16.15706134916477,22.28748211517346,23.715508878999916,9.271849811248332,23.5,4.33,0
3.5096333409399034,5.399172833266074,7.344705911706032,4.374636288387236,0.1504009207094515,17.2,9.39,0
2.2350267120954674,3.4380756436755773,6.7498391253663845,5.05606336729555,1.7009227102203264,22.4,4.03,0
4.277,5.608,7.9675,6.7025,5.28625,31.0,7.86,1
3.51525,5.66575,9.7495,7.764,4.948,18.8,6.8,1
4.379867783198766,6.376774023162773,9.594957443651902,8.162246158339237,4.123850503138616,25.9,6.55,0
2.7483575633621005,4.3573128899957485,6.739703782644564,5.851785603541416,0.3859741343137554,17.8,9.68,0
5.91325,7.62375,12.17225,9.14725,7.06825,29.2,6.93,1
3.54825,4.354,6.72725,5.0745,1.7305,19.8,7.46,1
2.5302908760072222,4.146034931711035,5.295517806464495,2.5506411266838014,0.2894903017879732,17.5,9.36,0
4.629,5.5035,7.808,5.91875,3.683,23.1,8.26,1
1.7855,2.47575,4.32925,2.9515,2.572,18.6,9.49,1
2.619842209661296,4.21432553981942,5.81995709193643,4.844316087706492,0.1472078873511729,15.6,7.33,0
5.1845,5.51175,7.26075,4.78575,1.89275,21.9,10.39,1
3.9487781895208505,5.831947141621015,8.885181820468246,7.554622248129057,3.747073088910021,25.9,6.55,0
4.101,5.14325,7.39275,6.03425,4.277,23.3,7.64,1
4.62075,5.575,8.072,7.962,4.29625,18.3,6.96,1
0.867,2.165,6.74375,4.332,3.3695,32.1,6.95,1
