SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,Ë®ÎÂ,ÈÜ½âÑõ
2.0349478634787803,3.262833860155462,6.748320019440887,4.781788697492503,2.207606894558676,22.6,6.97
2.071729343731803,3.2726805596875614,6.810912628380159,4.763563533043873,1.6835368597222622,22.6,6.97
2.020803935967262,3.241394830094552,6.77010375464708,4.711950507771879,1.9900782877936714,22.6,6.97
2.0406977121161973,3.292872828220531,6.892887846009748,4.763385373320598,1.8566088499276945,22.6,6.97
2.08706122291665,3.3436735141429414,6.91699129148242,4.843915259708092,1.567634863319612,22.6,6.97
1.9562709902743305,3.235999897975511,6.789175042684286,4.725473214780534,2.0848875970021954,22.6,6.97
2.060896940261697,3.323928908807033,6.915922224107004,4.770697603889299,1.7785936432902323,22.6,6.97
2.013654998324199,3.272127215950737,6.803099518291728,4.736588121783331,1.7869448586783623,22.6,6.97
2.4397077093825392,3.382993954683812,3.83597008064991,3.0812461400082394,1.2590234351364062,23,9.71
2.5016254573424086,3.431177891754733,3.7425017392641364,3.0689404729212915,1.0732090367619413,23,9.71
2.5782492055379587,3.3601353863368155,3.4142877565780485,2.9245290405344795,1.2001818761606904,23,9.71
3.6392372984721693,4.8899940056340965,5.497482174298266,4.478244833561293,0.8129494241437091,23,9.71
3.7410590548193414,4.954269972936664,5.583315395086289,4.509399642388329,0.9322695036204623,23,9.71
4.355311845095162,6.592479174625633,9.505476227046348,9.225275338344751,1.3186868306099433,23,9.71
4.445439202465797,6.541838507925161,9.031820114669834,9.03177801355427,1.1005081915935682,23,9.71
4.436570027430769,6.540327046609153,9.19708673509566,8.950885142697821,2.1425645257514034,23,9.71
5.1998283598798745,7.3530713734999305,10.034835745721889,9.599702278620114,1.1645641964651758,23,9.71
5.220034300137478,7.429113623048269,10.31133571536118,9.82976206574117,1.3008094966369208,23,9.71
3.5493625416881462,4.593516575599484,4.973627363884641,4.098528665519482,0.5282717771292341,23.1,9.9
3.3571839688760643,4.328376696250265,4.605286823482835,3.92104009761136,0.6882088929946757,23.1,9.9
3.1802041440256636,4.13908773821013,4.3156104948729554,3.6420700960130343,0.7092909454220954,23.1,9.9
3.34600638091736,4.371582585859067,4.887967898526695,4.270654838084937,0.6826338320083405,23.1,9.9
3.4630044343849473,4.467413081354767,4.702493138030621,3.9422354256041374,0.4137248523567552,23.1,9.9
3.8974712733105616,5.662733765943939,7.892009122394661,7.72912974063716,1.6042002748847508,23.1,9.9
4.0923215986765635,5.782982257450249,7.89938943802747,7.742434129715033,1.2524157780685914,23.1,9.9
4.224051512823097,5.902528518113795,7.985023888337413,7.724227383504885,0.9599241952400802,23.1,9.9
4.159085069571193,5.969322617866439,8.2754108605122,8.007938834846394,1.1742107202339054,23.1,9.9
3.923089281541906,5.585663145973393,7.750085566989032,7.559322826797785,1.4663189507582695,23.1,9.9
3.6074260218188,5.5246674723462155,7.645026688675268,7.678715390696922,1.360007926193422,22.7,10.43
3.70536125702344,5.392199150428092,7.255749181369398,7.264773637294665,1.2304130886689517,22.7,10.43
3.631901636573625,5.358065420517284,7.422095164422029,7.374421646887118,1.412406227291395,22.7,10.43
3.781815953956345,5.55711580104466,7.515985872581866,7.485791711452404,1.3227416367653597,22.7,10.43
3.9053197837897557,5.510323621223429,7.3574154501855755,7.445788808054287,1.4075277603191425,22.7,10.43
3.667560867175124,5.414871667647083,7.470702987060793,7.375064403238647,1.4478272138037331,22.7,10.43
3.9215821423795463,5.663473296532403,7.715914651746215,7.6107065885243665,1.2330633958270198,22.7,10.43
4.027834607832323,5.720646301776789,7.658466309833668,7.689388542672066,1.1425022475752318,22.7,10.43
3.8602695541016265,5.707864423670161,7.928763260640344,7.756386851034729,1.517906792134589,22.7,10.43
4.0327966855582185,5.831725986742259,7.984930231207126,7.8020726571924675,1.1871461345409788,22.7,10.43
1.5385349848381342,2.3713788206272666,2.795115228302163,2.4559602347238823,0.9481967403249807,22.7,9.64
1.459207079734652,2.302187025863656,2.5734094213839516,2.266423278853382,0.8629521409894823,22.7,9.64
1.5744542759937388,2.2546358386746648,2.3858097962518094,2.149948692629334,0.7386629644514218,22.7,9.64
